iter	Passed	Remaining
206	1395	5346
207	1401	5338
208	1406	5323
209	1410	5307
210	1417	5299
211	1421	5283
212	1426	5269
213	1432	5261
214	1437	5246
215	1441	5232
216	1447	5224
217	1452	5210
218	1456	5195
219	1461	5183
220	1466	5170
221	1471	5155
222	1475	5141
223	1481	5133
224	1486	5119
225	1490	5104
226	1497	5098
227	1502	5088
228	1507	5074
229	1513	5066
230	1517	5053
231	1522	5038
232	1527	5029
233	1532	5015
234	1536	5001
235	1540	4988
236	1546	4979
237	1551	4966
238	1555	4952
239	1561	4946
240	1566	4932
241	1570	4919
242	1576	4912
243	1581	4899
244	1585	4886
245	1591	4877
246	1596	4865
247	1600	4853
248	1605	4841
249	1609	4829
250	1614	4817
251	1618	4804
252	1624	4796
253	1629	4784
254	1633	4773
255	1640	4766
256	1644	4754
257	1650	4745
258	1658	4745
259	1664	4738
260	1671	4732
261	1675	4720
262	1680	4708
263	1685	4698
264	1690	4687
265	1694	4677
266	1699	4666
267	1705	4658
268	1710	4646
269	1714	4635
270	1720	4629
271	1725	4618
272	1729	4606
273	1736	4600
274	1741	4590
275	1746	4582
276	1753	4576
277	1757	4564
278	1762	4553
279	1768	4547
280	1772	4536
281	1777	4525
282	1782	4515
283	1787	4506
284	1791	4495
285	1796	4486
286	1803	4480
287	1807	4469
288	1812	4458
289	1820	4456
290	1824	4445
291	1828	4434
292	1833	4424
293	1838	4414
294	1842	4404
295	1848	4396
296	1852	4385
297	1857	4374
298	1861	4364
299	1866	4355
300	1870	4344
301	1875	4334
302	1880	4324
303	1884	4314
304	1888	4304
305	1893	4294
306	1897	4283
307	1902	4273
308	1906	4263
309	1910	4253
310	1915	4242
311	1919	4232
312	1923	4222
313	1928	4212
314	1932	4202
315	1936	4192
316	1941	4182
317	1945	4172
318	1949	4162
319	1954	4153
320	1958	4143
321	1963	4133
322	1967	4123
323	1971	4113
324	1976	4104
325	1980	4094
326	1984	4084
327	1989	4075
328	1993	4066
329	1997	4056
330	2003	4050
331	2008	4040
332	2012	4031
333	2016	4021
334	2021	4012
335	2025	4002
336	2029	3993
337	2034	3984
338	2039	3975
339	2043	3966
340	2047	3957
341	2052	3948
342	2056	3939
343	2061	3930
344	2066	3922
345	2070	3913
346	2074	3904
347	2079	3895
348	2083	3886
349	2088	3878
350	2092	3869
351	2097	3860
352	2101	3852
353	2106	3844
354	2111	3836
355	2117	3829
356	2122	3822
357	2126	3814
358	2131	3805
359	2136	3797
360	2141	3790
361	2146	3783
362	2151	3775
363	2156	3768
364	2161	3759
365	2165	3751
366	2170	3743
367	2174	3734
368	2179	3726
369	2183	3718
370	2188	3710
371	2192	3702
372	2197	3694
373	2202	3685
374	2206	3677
375	2211	3669
376	2215	3661
377	2220	3653
378	2224	3645
379	2229	3638
380	2234	3630
381	2239	3623
382	2244	3615
383	2248	3607
384	2253	3599
385	2257	3591
386	2262	3583
387	2266	3575
388	2271	3567
389	2275	3559
390	2280	3551
391	2284	3543
392	2289	3536
393	2294	3528
394	2298	3520
395	2304	3514
396	2308	3506
397	2313	3499
398	2317	3491
399	2322	3483
400	2326	3475
401	2331	3468
402	2336	3460
403	2340	3452
404	2345	3445
405	2350	3438
406	2354	3430
407	2360	3424
408	2365	3417
409	2369	3410
410	2374	3402
411	2379	3395
412	2383	3387
413	2388	3380
414	2393	3374
