iter	Logloss
0	0.6206336038
1	0.5639689713
2	0.5148613961
3	0.4817820758
4	0.4532111099
5	0.4258964989
6	0.4044308213
7	0.3888335206
8	0.3707950923
9	0.3635477916
10	0.3553707165
11	0.3430815426
12	0.3337039225
13	0.3262144143
14	0.3171644431
15	0.3118033164
16	0.307397292
17	0.3029670081
18	0.2988141293
19	0.2917262553
20	0.2860430775
21	0.2814099368
22	0.2781611168
23	0.2724659825
24	0.268034727
25	0.2635920241
26	0.2603819733
27	0.2570272426
28	0.2533491536
29	0.2492824696
30	0.2450277719
31	0.2435087015
32	0.2389201513
33	0.2343118554
34	0.2325045968
35	0.2281912706
36	0.2258130867
37	0.2225426704
38	0.2202401118
39	0.2177977527
40	0.2135278821
41	0.2114962165
42	0.2073415304
43	0.2046453285
44	0.201438514
45	0.1996238343
46	0.1967759931
47	0.1943330451
48	0.1920677425
49	0.1896140715
50	0.1868508611
51	0.1841197163
52	0.1819729906
53	0.1805164251
54	0.179052421
55	0.1773955683
56	0.174327447
57	0.1722029291
58	0.1705885702
59	0.1691533515
60	0.1671552235
61	0.1645960451
62	0.1628513522
63	0.1601855376
64	0.1586226518
65	0.1575173897
66	0.1549414824
67	0.1532165143
68	0.1517411817
69	0.150026626
70	0.1491243559
71	0.147136535
72	0.1455297929
73	0.1434245487
74	0.1423574474
75	0.1401903899
76	0.138677024
77	0.1377535971
78	0.1374228155
79	0.1362219169
80	0.1336561921
81	0.132184374
82	0.1308415066
83	0.1294155243
84	0.1282369222
85	0.1269298216
86	0.125365381
87	0.1247453029
88	0.124298816
89	0.1233597883
90	0.1217415379
91	0.1205900513
92	0.1193311961
93	0.1174840806
94	0.1173494247
95	0.1160801257
96	0.1157961714
97	0.1143544742
98	0.112671017
99	0.1125374036
